tiles_user,tiles_review
Ramaswamy Muthukrishnan,I would certainly recommend Jigsaw Academy. I have completed Data Science with R & SAS in 2015 and 2016 respectively and presently I am doing Big Data Certification. I am very much happy that I learned a lot from them. The course contents are right from the basics of Analytics to Programming Part. My experience with the academy until now has been remarkable. The course contents and assignments are very appropriate. Trainers/Customer Support for various issues like Conceptual Doubts/Assignments/LMS...etc will been resolved ASAP.
JERIL JOSEPH,"Hi,
I had enrolled for a combo course in Jigsaw Academy in the month of January, 2016. This is an earnest opinion, i dont think its worth investing in jigsaw, i am just regretting spending money here and the fees here is huge for no reason but the services is bad. Because the material i feel is way too simple for us to do any assignments given by them, which is too complex. Secondly, even after lodging a complaint, the faculty doesn't even bother to cal back or even if we intimate to the support team the issues we are facing, they show concerns(by repeatedly telling sorry’s) but no action is taken. I, initially thought i was not following the course, but it turns out majority of people are finding it difficult to understand jigsaw's material nor unable to do the assignments and the worst part is that u pay the entire money initially leaving us with nothing, so even if we face difficulties there’s no need for jigsaw to show interest, since they have the money in their hands, speaking about the fees, for thee quality they are providing the fees is skyrocketing which is not even worth. Finally with despair, pain and tears i am regretting joining jigsaw academy, a lot i have spent on this institute for which i am in deep pain and which i know i wont get back too. I see below lots of good reviews, which might be hardly 1–2% of candidates enrolling the rest are struggling. Kindly look into other options who are giving for cheaper and better services. Jigsaw is all about money and no services"
Harshit Satya,"Right now I am pursuing a data science course from Jigsaw academy. I have gone through content of course and I have also enrolled for other data science online courses but lessons tought in jigsaw course are far better than others and specially for one important reason is that the ease with which they present the information and how to implement the same practically.
The assignment they provide are really great for practice.
But the most important thing that I learnred in last 4 months of my course after going through lectures and attending webinars is that if you want to get placed in a company instead of learning all the tools you should focus on techniques to implement.
If you are good in one tool than practice each in every technique in that.
All the best."
Satya Reddy,"My answer will be YES.
I am currently doing Data Science course here.
I have done my research on all the Course providers before joining here. I have to admit these guys are providing budget friendly courses and Virtual Labs so no need to have high RAM Computers and Install costly software. I am having 18 months access to all the labs in my Course.All we need to have is a net connection and even a notepad will do the job. This is a more reasonable option while choosing a course."
Rajeev Bhatia,"Jigsaw Academy is the pioneer in the Data Scientist courses in India. Realizing the potential of data analytics and the important role it is going to play in the coming years, I enrolled myself in PGPDM at Jigsaw Academy in the year 2015. What I observed here is that participants are equipped with skill sets relevant to the job market and as such placement opportunities are good.
However, you need to honestly assess your career goals, interests and aptitude before enrolling in any particular course. You can take up these courses if you are interested in switching tracks or honing your skills further for better and more challenging job opportunities."
Akhil Chinna,Jigsaw academy is very good. In showing the content and explaining the course. Faculty is too good in explaining the contents and doubts.
Ravi Kumar,"Jigsaw Academy is a leading online analytics and big data courses provider. After getting feedbacks from the students and researching over the internet, it would be right to say that these courses can accelerate your career in the right direction. Interactive teaching assisted by webinars, discussions and assignments, problem-solving and in-depth analysis of the subject will offer you a unique learning experience, and develop expertise readily recognized by the job market. You will gain expertise and experience in the field of data analytics. However, you need to show higher level of commitment and dedication to derive the maximum from the experience and knowledge of instructors.
With highly promising prospects for a rewarding career and salary hikes, these courses will be worth investing your time and money. It can be analyzed from students’ reviews and placement record that the academy also provides excellent placement opportunities with the top recruiters like Genpact, IBM, Accenture, Wipro, etc. Professionals after completing a course in data science and analytics easily get salary between INR 6 lakhs to 12 lakhs in India and $65,000 to $130,000 globally at entry level."
Jinesh Khimsaria,Is this a good time to switch career & change profile for a 6 years IT experienced person who has no practical experience in data analytics? I'm asking this coz i found data analytics interesting but I'm skeptical in commencing my career as a fresher with this new job profile
Kinnaree Patel,I took this course as I was a beginner and I found the course to be very informative. It gave me enough lab hours to practice and the class room videos were up to the mark. I was able to accumulate a lot of knowledge about sas. The support team is also very helpful. They are there for you whenever you need them.I am planning to take a big data course as well.
Sudeep Rao,"Very detailed plan for the course. Extremely knowledgable staff.
The way each chapter plunges into depth by starting off with a very basic level is appreciated."
Anonymous,"I am a Jigsaw student currently enrolled for IoT course.
In short, what one needs is hold on a topic which you get with good knowledge.
The course content is very good…needs lot of hardwork and dedication to complete the course.
I have no idea about recognition of certificate from Jigsaw. They get recognized only when ppl show good knowledge and get well placed.
Apart from this, faculty support is kind of okay…..only compliant is that we need to raise ticket for any issue. Faculty not available on call.
The course content access is provided only for 365 days which according to me needs to be reconsidered as there are many academies which offer lifetime access. Since the courses are bit expensive and also course content is huge and complex, lifetime access must be provided.
Regarding placements, I too was told some flatterring success stories…was assured of CV update support and job opportunities. The services are there. But what I see is that the jobs posted are for ppl with <2yrs exp and not for high experienced ppl."
Pandu,"Data science course in Jigsaw academy is good interms of content, live class sessions, general support experience and faculty support.
Q&A session is good interms of having regular sessions. Overall experience was better in learning and getting excited to tools.
A special thanks to Mr.Moses who have helped in every aspects throughout the course.
Looking forward for the placement support."
Diwakar Singh,I can see lots of people here giving positive feedback here for Jigsaw. But haven't seen anyone who has taken the course and has got the job. Anyone??
Saugat Nayak,"I can say it is absolutely worth investing both time and money for the Jigsaw courses.
Various courses provided by Jigsaw are most conversant courses which are required to be into Analytics role. The study approach that Jigsaw follows and the real time cases which are provided to solve really helps students to get the feel of the kind of role they are aspiring for. While being in course, they gets their hands free on various modelling techniques that are used in industries on real time.
Also the placement team is doing a fairly good job in terms of polishing your CV as per the market requisite and then getting it forwarded to right place. On regular basis, students keep getting the list of openings in various companies. We should understand that Jigsaw does anything possible for any candidate for getting placed, but getting through depends on various factors like how confident are you on the subject matter; has the hiring company shortlisted your profile; are you at par with what the requirement is; your current pay; any many more. Any institute (as far as I know) provides the assistance in job, but nobody guarantees you in landing into any job. They can only shape you up as per the market, but getting through depends on factors which I mentioned.
Hike percentage entirely depends on the level you are into, the designation and band you are going to be, the company standard, confidence on the subject matter and practicability."
Toshit Andola,"I also find same points mentioned above by this person, I also enrolled to same course and not find it that great. If 80% effort u need to make so better go for udacity, coursera , udemy with international reputation, When going for placement u need to be 3 year experienced in same field, then why one would go for these courses from Jigsaw.
No mentoring, no guiding , nothing . I took intructor led course, it was same as video lectures. And I paid 20000 extra for this."
Pratik Kumar,It's worth it to join jigsaw to develop skills placement and faculty support are good .for fresher it's good to join jigsaw classroom program
Yogendra Patil,"Very bad experience, dont prefer online education, you will never satisfied your money will be worst ,
Try only your nearest offline class , you can ask obviously , no any customer support properly, you cant even get any proper note or template for reference.
Dont waste your money
I feel same here I wate my 50000 here by doing online course. Data analysis,
They will try to convince and saying no meaning of review fake review
You can contact me on8160906899"
Rohit Reddy,"One of the courses offered by Jigsaw Academy is a Postgraduate Diploma in Data Science which is a full-time 11-month course. The course is really good and offers certification from one of the top institutes in Country MAHE(Manipal Academy of Higher Education). The curriculum is also well structured and this course is a good option if you want to upskill or change domain. Here are some more features of the course
100% placement assistance and guarantee* (Guaranteed placement* or INR 30,000 p.m. financial support for 3 months)
Master Data Visualization, EDA, Artificial Intelligence & Neural Networks
Apply the methods, tools & techniques to real-world problems by leveraging multiple technologies
Learn emerging data science of unstructured data analysis and robotic process automation & more by industry experts
Get Postgraduate Diploma by Manipal Academy of Higher Education, an Institute of Eminence by UGC
The PG Diploma in Data Science India includes Immersive classroom sessions, complemented with assignments and case studies during after-class hours
Modern classrooms and data science labs equipped with the latest analytics software & applications.
Course taught by the best minds in the Analytics domain with 15+ years of experience including industry subject matter experts (SMEs)
4 Industry Discussions, 5 Case Studies, 3 Assignments & 3 Industry Projects
Domain-Specific electives on Marketing and BFSI Analytics, Unstructured Data Analysis, Robotic Process Automation, and Linear Programming.
Overall, in general, the course is one of the best in India but it is a classroom module one and also full time so working professionals might find it hectic and they would have to leave the job to pursue and cope up with this course.
Also, it is very expensive @ 5 lac plus, so it is a lot of investment that’s why I would also suggest you check one other platform Learnbay. I did my Data Science certification course from here as its cheaper @ less than 1 lac but the quality of the course curriculum and their trainers were great. Here why Learnbay is recommended…
Learnbay’s DataScience & AI Course is designed for Working professionals hence he had a great amount of flexibility on timings of the batch that he can choose according to his availability.
Although he was from an engineering background his programming skills were weak but Learnbay’s program is designed in such a way that it starts from the Base/Scratch level and goes to the advanced level, also they provide extra classes to students who are not programmers.
Their instructors are not just professors but are experienced professionals in the industry. Their Instructors Are Working in Industry as AI/ML experts and are Graduates/Masters from Premier Institute like IIT/IIM and they were very supportive of any doubts that arose.
Their course fee is also relatively cheaper and very affordable @ approx 75k
But there is no compromise in the content of the course as the curriculum is well designed, up to date and in relevant with the industry standards and the course is designed in a practical approach manner with case studies, capstone projects and more
There are 15+ real-time projects that students can choose to pursue under the guidance of a trainer making him/her industry ready and getting hands-on experience and practical application
of knowledge.
Also, the program they offered is IBM Certified making it a globally recognized one.
They provide job assistance with interview training so as you will be able to crack any Data science interviews with ease.
Many of the students have been placed in the top product based MNCs like IBM, TCS, Cognizant, etc
So in all the Jigsaw courses are good although expensive, but, if you compare it with Learnbay’s IBM certified one, So, based on the good experience I had with them I would recommend you check out Learnbay.
Happy learning!"
Navonil Chatterjee,I had completed the Full Stack Data Science course from Jigsaw Academy which was really well designed keeping in mind the market requirements for the role of data analysts. The course has given me confidence to apply the positions of data analyst and crack it. I would really like to recommend this course for better market exposure.
Sachin Patil,"Jigsaw academy Course is too older. I enrolled for the Data science boot camp program and I must say it is complete wasted of Rs. 90 k money most importantly time it just give introduction every tool.
If your fresher donot go there they will not placement team will not help you and certification has no value in the Data science Industry"
Prashant Patil,"NOOOOOOOO way jigsaw is very poor at teaching .very ill planned and irrelevant teaching.i was enrolled for june 2017 batch but i found the course in context less taeching. we need some basics first and then only we can relate to any subject.
it was just like teaching english /french by reading aloud essays in language with no teaching and understanding of grammar….totally contextless..
they have invested lot in advertisement so they come first in google search and people fall trap to them. all my batchmates who enrolled alongwith me also bear same opinion."
Jatin Chakravarty,"Hi , Am a novice is Data Analytics , I have 7 years of experience in Messaging and Collaboration technologies and now planning to move to Analytics , Could some body suggest which tools i should learn , I was told by Jigsaw team to take up either R and Big data or Saas and R. Also , what would be the salary packages, I currently drew a decent salary .
Welcome your advises and Suggestion - Thanks"
Diksha Singhal,"Hey!
So, I will be coming directly to your query, as you asked about “should invest time, and money”, it is good to know you analyze your things. So, talking about Jigsaw Academy, it is a really good platform to learn.
The course content is designed to help even a beginner in this field. The content was crisp, to the point, and simple. Concepts were explained in very simple terms and the faculty chat option to resolve any queries was also great. The assignments ensured I got a feel of how real-time problems can be approached through analytics. The Course content is effective and it mainly covers the SAS section and statistics section. We get to work on real-time case studies which help to get a clear insight into the topic. The LMS system where we can find the Pre-class videos, class recordings of each class, and course material is enough to explain the concept better. Also, we can access Jigsaw Lab (Remote Desktop computer) helps to exercise our case study assignments and SAS codes as well.
You get to work on many case studies as well. The faculty and support team are very approachable and helpful in our queries. They are ready to give individual attention and follow-up of our issues.
They provide you the following courses:
Data Science course
IIM Indore program
Machine learning courses
Artificial intelligence courses
HackerU Program
Cloud computing
Cybersecurity course
PG Data Science
IoT
Big Data Courses
And more
Jigsaw is an exhilarating platform yet it is hard to get job assistance through it.
Apart from Jigsaw , there are many other good platforms like Learnbay, Simplilearn , Udemy , Upgrad, Edureka that offers some amazing and interesting courses. Learnbay( recommended) focuses on quality learning by providing industry-based learning which is cost-effective. It has highly qualified professionals striving to help the aspirants in every possible way. They also offer 15+ real-time projects and equally focus on job assistance.
Lately, you hold the decision, so choose wisely and keep learning and growing!
ALL THE BEST, Thanks for reading!"
What is your review of Jigsaw Academy?,"I choose Jigsaw academy for one of the data analyst course last year. Every single forum is saying that it was good among rest of the institute. So I choose them. I was learning Excel and SAS along with other techniques.
Excel :- I was already pro at excel, so I cleared the content easily. But their content was quite messy. They actually draft the classes/videos in untidy way. It was easier for me understand, but anyone new to advance excel can find that bit tough.
SAS and stats techniques :- Poor draft of the videos continue here as well. I was new to SAS and other stats techniques, so it was bit difficult to understand. However after learning SAS from other youtube videos. I was able to crack it.
when I was enrolled they were using WPS for teaching SAS techniques. I think now they are using SAS university edition for this. But WPS was again a headache for me.
Placement :- THEY WILL NOT HELP YOU TO GETTING PLACE. it is learning platform for a student and earning platform for them. Placement is something they actually dont understand. Forget about the placement, their placement services are pathetic. They dont even help you to write your resume or mock test.
I was in touch with them through out my course duration. Now they are complaining that my phone is not reachable for placement services.
Plus they post jobs from other employment portals. but the catch here is that they dont have jobs for freshers. Someone from data science or AI with the relevant experience is required. And most of the students are freshers, so they dont fit here. I was having experience (not in data science ) but eligible for jobs.
Please dont waste your hard earned money. it is only market gimmick."
Is it worth joining Jigsaw Academy for a PGPDM course? If not then what are the alternatives?,"I understand that this is a very difficult decision to decide as to which course to choose on for data science, machine learning and AI. I am writing this review for many of the aspiring students who ask me this question on linkedin.
Hope this helps!
As a past student and the research I did before joining this course was about the quality and quantity. Quality in terms of professors and quantity in terms of material and time.
Data Science, Machine Learning and AI being a very vast topic, does require a lot of time and learning. I had investigated some of the courses which are no doubt very cheap and the time they give is very short. I can confidently say very short as I have already done this course and have seen my colleagues doing similar kind of course but are lost. It’s so fast for them is that they are not able to understand one topic and a very big topic comes next.
The major point that I considered while perusing this course was the topics being covered and the time spent for each of them. Yes, these topics are vast and does require a lot of time and self learning, but that is not the only thing. The major plus point of this course was the people who taught us. Since for most of us this was a new topic and the major dilemma for a student to learn a new topic is the belief on what they are being taught. Why would I believe in someone who is him/herself a rookie in this field, right? As you can check the PGPD UC, jigsaw official page and can check there linkedin page as how much experienced they are what they can offer you as a professor. These professors are a well-known in name in University of Chicago and Jigsaw as well as industry in terms of guest lecturers. Why would I learn from someone who is a newbie this field, but from someone who is a learned professional and is already leading projects in this field. (I have already received some offers to be a part time trainer in some of the institutes )
Placements are part of the process for such courses and Jigsaw provides a good support for it. They do provide call from known companies from their corporate tie up and let you attend interview. I do have registered on Naukri and receive dozens of mail every day. To get job in this industry is surely not that easy and requires thorough knowledge in this subject. As from my experience, I can say that people do appreciate the courses you have done but at the end, it all drills down to you. Were you able to answer questions as per there satisfaction? If not then I don’t think any course available will help you out. At most they can help you understand the topic and clear your doubts, which I found very useful in this course."
"How was the bootcamp conducted by Jigsaw Academy? My friend recently took it up and was quite satisfied, but I need more feedback.","If you ask me to describe Jigsaw Academy in one word i would say “Incredible”. This bootcamp is worth every penny you pay. The course is fast paced, but you get to understand each and every concept clearly. The faculty at Jigsaw are really supportive and friendly, they make you feel comfortable and that makes learning process easy. Coming to the content, you have both classroom learning and online videos. The faculties explain the topics thoroughly in classroom and online videos contain clear explanations as well. If you don't understand a concept, you can raise the doubt and they repeat it right away. The structure of the course is step by step and they start from the basics and move up the ladder to advanced ones. One advantage of taking classroom learning is you get to interact with the faculty freely and clear your doubts right away and you get to meet people who are already working. As a fresher, i got to know a few people in which they shared their experience of how working environment is, and their advice will help me with future job opportunities. Coming to the support, they make you feel really comfortable and they resolve your queries quickly. You get frequent emails on job opportunities from the placement team. Like i said above, taking bootcamp course at Jigsaw Academy was an incredible experience and it's worth every penny you pay.
Thank you Jigsaw Academy
Hope it helps!!"
Is it worth taking data science course in Jigsaw Academy?,"It depends on your interest in Data analytics. If you are really invested in it, its a good start point. They help learn Machine learning basic concepts in R, such as regression, random forest, Time series forecasting. Python was rushed through. Tableau and SAS are online video walkthroughs. It has been more than 2 months since I’ve completed the course in the given assigned time(about 10% of us managed to complete it in 3 months) i.e. submission of assignments before the deadline, but that didn’t give me any bragging rights when it came to getting placed through Jigsaw(as promised before enrollment). I’m still waiting for an interview through Jigsaw that could help me land one. I will update this thread if I do get placed through Jigsaw academy."
"I am looking to enroll for a data science certification course. What are some reviews about institutes like Simplilearn, Insofe and Jigsaw Academy?","Yes, there are quite a few good institutes that provide Data Science Training, you have to do quite a good research before you enroll yourself for Data Science Training. You will have to look out for the job role which you are interested in and according to work on that.
I will review some institutes that provide Data Science Course:
Simplilearn: The program features 68 hours of in-depth learning. This is not a course most people can hit off in a single weekend or even over a single week. The course also includes four real-life, industry-based projects with corresponding demos. You can visit their website
for further details.
Jigsaw Academy: They do have different courses under this Specialization which longs from 3months to 10 months. you can choose the duration and the course accordingly. To know more visit here.
Learnbay: Learnbay is an institute that provides Online as well as Classroom training sessions. The Data Science Master's Program that they provide is a whole package that almost covers everything that is needed. They do have 12+ Real-time projects on different domains. You can visit Data Science Certification Course
for further details."
How would one compare the Data Analytics and Big Data courses at simplilearn with Jigsaw academy?,"Well on the counter part i see below grievances for Jigsaw and what matters in the end is what was the resolution and how my issue was dealt with:
Pasting few grievances from customers who are unhappy with what Jigsaw is offering:
I was planning to enrol for the Jigsaw Course on Big Data & Hadoop but initially enrolled for their short course with Jigsaw Academy on Fraud Analytics using Logistic Regression. This was to test how good is this institute and whether my investment (Rs 42k) going to be worth. Personally, I have over 10 years experience in Analytics and have used Logistic Regression several times so it was good to test them.
I found the course below average. The good parts are the SAS code, word document and their over enthusiastic pre-sales team. The good things ended pretty quickly and I was left with a poor experiencc. The instructor almost rushed through the material and didn't explain the rationale behind the steps, which was a major disappointment. Several key points prior to carrying out a logistic regression were skipped and several key checks one would carry out post logistic regression were completely missed out. The worst part was I sent over a list of questions on the video and it is 20+ days as I write this and still no response (where is their promise of quick response?).
If you are complete beginner in analytics and take this course, you may be impressed but with reasonably good experience in analytics, you will be totally disappointed. I am not sure how other online courses compare but I have seen some good stuff on Coursera/Udemy or even Youtube which are a lot better and free. So please think carefully before investing your money and time in doing courses with such institutes."
What is the main purpose of jigsaw academy? Is it fake or real?,"Jigsaw Academy teaches online courses in Data Science, Big Data, Analytics, Machine Learning. They are known to be pretty good in this section of training.
It is definitely not fake and has had numerous students take their courses and benefit from them. They have gotten some good reviews from their students as well as media houses. Go check out their website. You will definitely get better info."
How is Jigsaw Academy’s data science program?,"I am currently enrolled to their Full Stack Data Science course. Frankly, the course material and content is pretty average. They will promise big things before enrolling, but all of that is lies. I would advise people to do their homework and not get carried away by false promises from such institutes. Save your hard earned money and get more knowledge by referring to free videos and websites."
Does Jigsaw Academy provide any platform for placements to its students?,"I am 2016 student of Jigsaw. I was part of the student Whatsapp group as well. Many of my co-students kept complaining about not getting a job. I found this strange because they had not even finished one course and were talking about 7 lakh jobs. Some of them were of the opinion that they have paid the course fee and now job should come automatically.
Jigsaw LMS has many job opportunities. Some of them are valid for freshers. Others require some experience.
Jigsaw will not get you placed. They can only give you access to job openings. I also think that the changes they suggested on my resume were very good.
I think some students have unrealistic expectations. They dont want to work hard but want rewards.
Jigsaw is doing a decent job. I am happy with my experience."
